"","Year","Month","Country","Rain_fall","Temperature","Date"
"55","1995",7,"AUT",92.7344,18.3665,"1995-7"
"56","1995",8,"AUT",161.305,15.1374,"1995-8"
"57","1995",9,"AUT",137.178,10.6815,"1995-9"
"58","1995",10,"AUT",13.9653,9.79485,"1995-10"
"59","1995",11,"AUT",69.7686,0.44176,"1995-11"
"60","1995",12,"AUT",99.5581,-2.5028,"1995-12"
"61","1996",1,"AUT",39.9557,-3.3183,"1996-1"
"62","1996",2,"AUT",49.3471,-4.5907,"1996-2"
"63","1996",3,"AUT",43.1666,-1.0552,"1996-3"
"64","1996",4,"AUT",100.639,6.08501,"1996-4"
"65","1996",5,"AUT",164.043,11.171,"1996-5"
"66","1996",6,"AUT",135.031,14.8864,"1996-6"
"67","1996",7,"AUT",118.664,14.5299,"1996-7"
"68","1996",8,"AUT",153.081,14.9786,"1996-8"
"69","1996",9,"AUT",132.816,8.94668,"1996-9"
"70","1996",10,"AUT",146.944,7.72115,"1996-10"
"71","1996",11,"AUT",121.536,3.16093,"1996-11"
"72","1996",12,"AUT",37.6712,-3.8254,"1996-12"
"73","1997",1,"AUT",27.2374,-3.1524,"1997-1"
"74","1997",2,"AUT",40.0461,0.62919,"1997-2"
"75","1997",3,"AUT",95.2364,3.22835,"1997-3"
"76","1997",4,"AUT",93.1532,3.55234,"1997-4"
"77","1997",5,"AUT",80.9703,11.3636,"1997-5"
"78","1997",6,"AUT",149.204,14.284,"1997-6"
"79","1997",7,"AUT",200.093,14.7611,"1997-7"
"80","1997",8,"AUT",92.0987,16.3054,"1997-8"
"81","1997",9,"AUT",56.3466,12.9178,"1997-9"
"82","1997",10,"AUT",73.6094,6.11594,"1997-10"
"83","1997",11,"AUT",107.602,2.52242,"1997-11"
"84","1997",12,"AUT",97.7738,-0.2057,"1997-12"
"85","1998",1,"AUT",32.8686,-0.9913,"1998-1"
"86","1998",2,"AUT",15.1869,1.83952,"1998-2"
"87","1998",3,"AUT",84.9621,1.64749,"1998-3"
"88","1998",4,"AUT",90.1458,7.03582,"1998-4"
"89","1998",5,"AUT",64.4905,11.3154,"1998-5"
"90","1998",6,"AUT",149.859,15.1916,"1998-6"
"91","1998",7,"AUT",180.859,16.1143,"1998-7"
"92","1998",8,"AUT",99.735,16.5025,"1998-8"
"93","1998",9,"AUT",166.418,11.6454,"1998-9"
"94","1998",10,"AUT",152.451,7.88903,"1998-10"
"95","1998",11,"AUT",85.5992,-0.451,"1998-11"
"96","1998",12,"AUT",45.2855,-2.8965,"1998-12"
"97","1999",1,"AUT",48.1602,-1.6567,"1999-1"
"98","1999",2,"AUT",115.884,-3.0311,"1999-2"
"99","1999",3,"AUT",63.9558,3.27122,"1999-3"
"100","1999",4,"AUT",106.246,6.91904,"1999-4"
"101","1999",5,"AUT",138.64,12.0273,"1999-5"
"102","1999",6,"AUT",130.305,13.8597,"1999-6"
"103","1999",7,"AUT",154.89,16.5733,"1999-7"
"104","1999",8,"AUT",155.865,15.6545,"1999-8"
"105","1999",9,"AUT",92.9988,14.456,"1999-9"
"106","1999",10,"AUT",58.4553,8.22239,"1999-10"
"107","1999",11,"AUT",83.262,0.59612,"1999-11"
"108","1999",12,"AUT",93.1305,-2.0451,"1999-12"
"109","2000",1,"AUT",56.7314,-4.1438,"2000-1"
"110","2000",2,"AUT",63.058,0.78538,"2000-2"
"111","2000",3,"AUT",148.638,2.83827,"2000-3"
"112","2000",4,"AUT",55.4908,8.7204,"2000-4"
"113","2000",5,"AUT",104.9,12.7843,"2000-5"
"114","2000",6,"AUT",96.2253,15.8113,"2000-6"
"115","2000",7,"AUT",155.825,14.1791,"2000-7"
"116","2000",8,"AUT",121.309,17.2841,"2000-8"
"117","2000",9,"AUT",98.3257,12.3976,"2000-9"
"118","2000",10,"AUT",142.56,9.66079,"2000-10"
"119","2000",11,"AUT",130.04,4.13562,"2000-11"
"120","2000",12,"AUT",72.6041,0.24611,"2000-12"
"121","2001",1,"AUT",72.6757,-2.0886,"2001-1"
"122","2001",2,"AUT",58.0672,-0.0867,"2001-2"
"123","2001",3,"AUT",121.19,4.29556,"2001-3"
"124","2001",4,"AUT",118.419,4.98207,"2001-4"
"125","2001",5,"AUT",65.093,12.9541,"2001-5"
"126","2001",6,"AUT",144.268,12.7302,"2001-6"
"127","2001",7,"AUT",106.773,16.4129,"2001-7"
"128","2001",8,"AUT",112.225,17.472,"2001-8"
"129","2001",9,"AUT",165.363,9.56816,"2001-9"
"130","2001",10,"AUT",32.9747,10.8874,"2001-10"
"131","2001",11,"AUT",73.8256,0.79536,"2001-11"
"132","2001",12,"AUT",67.0779,-4.9234,"2001-12"
"133","2002",1,"AUT",20.9963,-2.1618,"2002-1"
"134","2002",2,"AUT",67.4437,2.13219,"2002-2"
"135","2002",3,"AUT",116.986,3.94793,"2002-3"
"136","2002",4,"AUT",86.914,5.82587,"2002-4"
"137","2002",5,"AUT",81.9999,12.5333,"2002-5"
"138","2002",6,"AUT",120.606,16.3606,"2002-6"
"139","2002",7,"AUT",130.141,16.5833,"2002-7"
"140","2002",8,"AUT",202.281,16.0428,"2002-8"
"141","2002",9,"AUT",108.711,10.7959,"2002-9"
"142","2002",10,"AUT",121.531,7.00367,"2002-10"
"143","2002",11,"AUT",144.221,4.28752,"2002-11"
"144","2002",12,"AUT",88.5526,-1.3286,"2002-12"
"145","2003",1,"AUT",69.8269,-3.5909,"2003-1"
"146","2003",2,"AUT",22.1794,-4.7833,"2003-2"
"147","2003",3,"AUT",21.5325,3.03961,"2003-3"
"148","2003",4,"AUT",58.0719,5.66091,"2003-4"
"149","2003",5,"AUT",100.484,13.26,"2003-5"
"150","2003",6,"AUT",94.0118,16.9155,"2003-6"
"151","2003",7,"AUT",130.003,17.1975,"2003-7"
"152","2003",8,"AUT",85.5852,19.1187,"2003-8"
"153","2003",9,"AUT",75.0798,11.9953,"2003-9"
"154","2003",10,"AUT",135.162,4.67481,"2003-10"
"155","2003",11,"AUT",78.7141,4.00178,"2003-11"
"156","2003",12,"AUT",63.322,-1.2784,"2003-12"
"157","2004",1,"AUT",84.8939,-4.1065,"2004-1"
"158","2004",2,"AUT",76.2288,-0.7935,"2004-2"
"159","2004",3,"AUT",79.1656,1.07417,"2004-3"
"160","2004",4,"AUT",65.0357,6.75523,"2004-4"
"161","2004",5,"AUT",114.691,9.26034,"2004-5"
"162","2004",6,"AUT",177.599,13.5775,"2004-6"
"163","2004",7,"AUT",114.724,15.6488,"2004-7"
"164","2004",8,"AUT",121.186,16.4168,"2004-8"
"165","2004",9,"AUT",89.553,12.1281,"2004-9"
"166","2004",10,"AUT",105.798,9.23992,"2004-10"
"167","2004",11,"AUT",68.1374,2.15712,"2004-11"
"168","2004",12,"AUT",43.1757,-1.2009,"2004-12"
"169","2005",1,"AUT",58.9224,-2.5766,"2005-1"
"170","2005",2,"AUT",71.3677,-4.7639,"2005-2"
"171","2005",3,"AUT",50.0286,0.82504,"2005-3"
"172","2005",4,"AUT",108.847,6.53296,"2005-4"
"173","2005",5,"AUT",112.699,11.4581,"2005-5"
"174","2005",6,"AUT",86.928,14.7804,"2005-6"
"175","2005",7,"AUT",185.914,16.1369,"2005-7"
"176","2005",8,"AUT",194.727,14.0984,"2005-8"
"177","2005",9,"AUT",105.188,12.954,"2005-9"
"178","2005",10,"AUT",44.6775,8.76779,"2005-10"
"179","2005",11,"AUT",61.5101,1.24764,"2005-11"
"180","2005",12,"AUT",90.4478,-3.4482,"2005-12"
"181","2006",1,"AUT",57.3804,-5.2572,"2006-1"
"182","2006",2,"AUT",52.4737,-3.3195,"2006-2"
"183","2006",3,"AUT",101.239,-0.1206,"2006-3"
"184","2006",4,"AUT",127.401,6.76978,"2006-4"
"185","2006",5,"AUT",124.679,10.6359,"2006-5"
"186","2006",6,"AUT",123.988,14.8496,"2006-6"
"187","2006",7,"AUT",79.6882,19.1424,"2006-7"
"188","2006",8,"AUT",198.119,13.2324,"2006-8"
"189","2006",9,"AUT",62.0569,14.5901,"2006-9"
"190","2006",10,"AUT",55.5243,10.1305,"2006-10"
"191","2006",11,"AUT",65.8287,4.29561,"2006-11"
"192","2006",12,"AUT",42.7688,0.75661,"2006-12"
"193","2007",1,"AUT",90.2458,1.45037,"2007-1"
"194","2007",2,"AUT",66.4453,1.85624,"2007-2"
"195","2007",3,"AUT",107.948,3.57088,"2007-3"
"196","2007",4,"AUT",12.5074,9.62086,"2007-4"
"197","2007",5,"AUT",131.179,12.455,"2007-5"
"198","2007",6,"AUT",123.038,15.9892,"2007-6"
"199","2007",7,"AUT",136.857,16.8225,"2007-7"
"200","2007",8,"AUT",144.482,15.8728,"2007-8"
"201","2007",9,"AUT",179.947,10.311,"2007-9"
"202","2007",10,"AUT",71.5828,6.75146,"2007-10"
"203","2007",11,"AUT",101.633,0.62434,"2007-11"
"204","2007",12,"AUT",56.5556,-2.1272,"2007-12"
"205","2008",1,"AUT",48.4861,-0.0067,"2008-1"
"206","2008",2,"AUT",24.1591,1.183,"2008-2"
"207","2008",3,"AUT",102.677,1.88608,"2008-3"
"208","2008",4,"AUT",118.026,6.05448,"2008-4"
"209","2008",5,"AUT",63.3795,12.2101,"2008-5"
"210","2008",6,"AUT",149.91,15.6965,"2008-6"
"211","2008",7,"AUT",175.451,16.1666,"2008-7"
"212","2008",8,"AUT",131.295,16.3593,"2008-8"
"213","2008",9,"AUT",81.1481,10.9491,"2008-9"
"214","2008",10,"AUT",78.3016,8.35032,"2008-10"
"215","2008",11,"AUT",88.093,3.08675,"2008-11"
"216","2008",12,"AUT",109.343,-1.0373,"2008-12"
"217","2009",1,"AUT",64.5793,-3.8439,"2009-1"
"218","2009",2,"AUT",98.7904,-2.3274,"2009-2"
"219","2009",3,"AUT",135.121,1.65366,"2009-3"
"220","2009",4,"AUT",45.8214,9.49529,"2009-4"
"221","2009",5,"AUT",107.217,12.6196,"2009-5"
"222","2009",6,"AUT",207.423,13.5863,"2009-6"
"223","2009",7,"AUT",149.96,16.8199,"2009-7"
"224","2009",8,"AUT",131.494,17.5437,"2009-8"
"225","2009",9,"AUT",91.8731,13.6869,"2009-9"
"226","2009",10,"AUT",79.4431,7.02679,"2009-10"
"227","2009",11,"AUT",84.2273,4.29278,"2009-11"
"228","2009",12,"AUT",96.9806,-2.1602,"2009-12"
"229","2010",1,"AUT",50.0619,-4.6779,"2010-1"
"230","2010",2,"AUT",55.6135,-2.2613,"2010-2"
"231","2010",3,"AUT",47.3053,1.80491,"2010-3"
"232","2010",4,"AUT",64.9337,6.84071,"2010-4"
"233","2010",5,"AUT",154.238,10.1461,"2010-5"
"234","2010",6,"AUT",147.703,14.8011,"2010-6"
"235","2010",7,"AUT",138.701,18.1485,"2010-7"
"236","2010",8,"AUT",199.932,15.569,"2010-8"
"237","2010",9,"AUT",118.538,10.8909,"2010-9"
"238","2010",10,"AUT",68.7064,6.11854,"2010-10"
"239","2010",11,"AUT",92.9636,3.44764,"2010-11"
"240","2010",12,"AUT",83.0952,-4.5419,"2010-12"
"241","2011",1,"AUT",50.2934,-2.2277,"2011-1"
"242","2011",2,"AUT",22.3074,-1.2051,"2011-2"
"243","2011",3,"AUT",60.1673,3.18364,"2011-3"
"244","2011",4,"AUT",40.2355,9.01725,"2011-4"
"245","2011",5,"AUT",115.335,11.9999,"2011-5"
"246","2011",6,"AUT",143.847,14.9374,"2011-6"
"247","2011",7,"AUT",141.083,15.0009,"2011-7"
"248","2011",8,"AUT",104.633,17.514,"2011-8"
"249","2011",9,"AUT",93.3604,14.6576,"2011-9"
"250","2011",10,"AUT",113.989,7.41637,"2011-10"
"251","2011",11,"AUT",3.12895,3.03023,"2011-11"
"252","2011",12,"AUT",94.2645,-0.1473,"2011-12"
"253","2012",1,"AUT",105.338,-1.9143,"2012-1"
"254","2012",2,"AUT",37.0028,-5.7377,"2012-2"
"255","2012",3,"AUT",27.6095,5.13914,"2012-3"
"256","2012",4,"AUT",79.1993,6.82045,"2012-4"
"257","2012",5,"AUT",98.5198,12.0353,"2012-5"
"258","2012",6,"AUT",142.536,15.9905,"2012-6"
"259","2012",7,"AUT",167.171,17,"2012-7"
"260","2012",8,"AUT",128.859,17.7677,"2012-8"
"261","2012",9,"AUT",113.29,13.0445,"2012-9"
"262","2012",10,"AUT",106.488,8.11235,"2012-10"
"263","2012",11,"AUT",85.9357,4.33923,"2012-11"
"264","2012",12,"AUT",85.3332,-2.2972,"2012-12"
"265","2013",1,"AUT",103.517,-2.1783,"2013-1"
"266","2013",2,"AUT",98.1978,-3.1861,"2013-2"
"267","2013",3,"AUT",88.2995,0.25412,"2013-3"
"268","2013",4,"AUT",46.8934,7.53443,"2013-4"
"269","2013",5,"AUT",177.872,10.0866,"2013-5"
"270","2013",6,"AUT",157.711,14.1799,"2013-6"
"271","2013",7,"AUT",44.1464,18.3023,"2013-7"
"272","2013",8,"AUT",127.262,17.2615,"2013-8"
"273","2013",9,"AUT",129.369,11.9103,"2013-9"
"274","2013",10,"AUT",80.2835,8.91825,"2013-10"
"275","2013",11,"AUT",136.135,2.64998,"2013-11"
"276","2013",12,"AUT",39.5843,0.37038,"2013-12"
"277","2014",1,"AUT",83.9033,0.12371,"2014-1"
"278","2014",2,"AUT",82.5476,1.3831,"2014-2"
"279","2014",3,"AUT",47.409,5.29799,"2014-3"
"280","2014",4,"AUT",88.5012,8.2207,"2014-4"
"281","2014",5,"AUT",162.062,10.1892,"2014-5"
"282","2014",6,"AUT",108.377,14.8951,"2014-6"
"283","2014",7,"AUT",178.133,16.617,"2014-7"
"284","2014",8,"AUT",178.649,14.5986,"2014-8"
"285","2014",9,"AUT",158.091,12.6457,"2014-9"
"286","2014",10,"AUT",98.6507,9.69687,"2014-10"
"287","2014",11,"AUT",71.2827,5.61371,"2014-11"
"288","2014",12,"AUT",73.7598,0.02563,"2014-12"
"289","2015",1,"AUT",80.7777,-0.8504,"2015-1"
"290","2015",2,"AUT",32.7421,-1.2576,"2015-2"
"291","2015",3,"AUT",82.5239,3.03719,"2015-3"
"292","2015",4,"AUT",72.3873,6.79681,"2015-4"
"293","2015",5,"AUT",167.887,11.3647,"2015-5"
"294","2015",6,"AUT",135.569,15.3362,"2015-6"
"295","2015",7,"AUT",114.659,19.3133,"2015-7"
"296","2015",8,"AUT",101.78,18.7915,"2015-8"
"297","2015",9,"AUT",136.246,11.8111,"2015-9"
"298","2015",10,"AUT",144.443,7.399,"2015-10"
"299","2015",11,"AUT",57.7143,4.92957,"2015-11"
"300","2015",12,"AUT",20.9795,1.37419,"2015-12"
"301","1991",1,"BEL",80.0059,2.95523,"1991-1"
"302","1991",2,"BEL",31.0636,-0.3941,"1991-2"
"303","1991",3,"BEL",39.5761,8.57952,"1991-3"
"304","1991",4,"BEL",54.6013,8.38833,"1991-4"
"305","1991",5,"BEL",27.1569,10.3861,"1991-5"
"306","1991",6,"BEL",106.52,13.2911,"1991-6"
"307","1991",7,"BEL",95.8467,19.1454,"1991-7"
"308","1991",8,"BEL",16.5234,19.0581,"1991-8"
"309","1991",9,"BEL",55.9741,16.1465,"1991-9"
"310","1991",10,"BEL",45.0751,10.2374,"1991-10"
"311","1991",11,"BEL",133.993,5.45075,"1991-11"
"312","1991",12,"BEL",68.6794,3.0897,"1991-12"
"313","1992",1,"BEL",30.399,2.36399,"1992-1"
"314","1992",2,"BEL",38.8439,4.46686,"1992-2"
"315","1992",3,"BEL",89.4756,6.86777,"1992-3"
"316","1992",4,"BEL",56.3691,8.81827,"1992-4"
"317","1992",5,"BEL",51.372,15.2644,"1992-5"
"318","1992",6,"BEL",96.2074,16.7917,"1992-6"
"319","1992",7,"BEL",80.0288,18.7024,"1992-7"
"320","1992",8,"BEL",115.756,18.6716,"1992-8"
"321","1992",9,"BEL",48.8116,14.4866,"1992-9"
"322","1992",10,"BEL",94.9593,8.035,"1992-10"
"323","1992",11,"BEL",103.794,7.55,"1992-11"
"324","1992",12,"BEL",73.4038,3.68724,"1992-12"
"325","1993",1,"BEL",97.8052,4.91641,"1993-1"
"326","1993",2,"BEL",26.5342,1.68,"1993-2"
"327","1993",3,"BEL",8.55653,6.07329,"1993-3"
"328","1993",4,"BEL",48.34,11.1792,"1993-4"
"329","1993",5,"BEL",76.3599,14.4329,"1993-5"
"330","1993",6,"BEL",57.8767,16.609,"1993-6"
"331","1993",7,"BEL",118.34,16.8468,"1993-7"
"332","1993",8,"BEL",34.749,16.3378,"1993-8"
"333","1993",9,"BEL",130.784,13.4176,"1993-9"
"334","1993",10,"BEL",90.4942,9.16818,"1993-10"
"335","1993",11,"BEL",49.7856,2.45555,"1993-11"
"336","1993",12,"BEL",191.497,5.10002,"1993-12"
"337","1994",1,"BEL",100.628,4.63244,"1994-1"
"338","1994",2,"BEL",41.4704,2.42553,"1994-2"
"339","1994",3,"BEL",85.0352,7.78347,"1994-3"
"340","1994",4,"BEL",66.8386,8.51236,"1994-4"
"341","1994",5,"BEL",79.476,12.7307,"1994-5"
"342","1994",6,"BEL",55.9798,16.1968,"1994-6"
"343","1994",7,"BEL",48.7663,21.4486,"1994-7"
"344","1994",8,"BEL",67.726,18.2948,"1994-8"
"345","1994",9,"BEL",117.76,13.7263,"1994-9"
"346","1994",10,"BEL",76.4668,9.90033,"1994-10"
"347","1994",11,"BEL",45.0552,9.85992,"1994-11"
"348","1994",12,"BEL",107.693,5.58834,"1994-12"
"349","1995",1,"BEL",157.077,3.49571,"1995-1"
"350","1995",2,"BEL",98.7504,6.49931,"1995-2"
"351","1995",3,"BEL",85.9737,5.36788,"1995-3"
"352","1995",4,"BEL",47.8529,9.06604,"1995-4"
"353","1995",5,"BEL",54.2766,13.2482,"1995-5"
"354","1995",6,"BEL",57.6107,14.9598,"1995-6"
"355","1995",7,"BEL",55.3122,20.7572,"1995-7"
"356","1995",8,"BEL",31.5944,20.0628,"1995-8"
"357","1995",9,"BEL",96.4938,13.8647,"1995-9"
"358","1995",10,"BEL",25.8594,13.4155,"1995-10"
"359","1995",11,"BEL",44.9331,6.48345,"1995-11"
"360","1995",12,"BEL",63.253,0.60133,"1995-12"
"361","1996",1,"BEL",14.5813,0.77381,"1996-1"
"362","1996",2,"BEL",66.8887,0.81513,"1996-2"
"363","1996",3,"BEL",24.3381,3.67517,"1996-3"
"364","1996",4,"BEL",7.90222,9.59454,"1996-4"
"365","1996",5,"BEL",77.5686,10.9172,"1996-5"
"366","1996",6,"BEL",27.4932,16.2604,"1996-6"
"367","1996",7,"BEL",46.6947,16.9995,"1996-7"
"368","1996",8,"BEL",99.2917,17.6767,"1996-8"
"369","1996",9,"BEL",42.4868,12.7793,"1996-9"
"370","1996",10,"BEL",66.8134,10.9095,"1996-10"
"371","1996",11,"BEL",117.945,5.6431,"1996-11"
"372","1996",12,"BEL",43.8983,0.52475,"1996-12"
"373","1997",1,"BEL",10.1851,-1.0777,"1997-1"
"374","1997",2,"BEL",97.0374,5.9247,"1997-2"
"375","1997",3,"BEL",28.5528,8.30102,"1997-3"
"376","1997",4,"BEL",30.9063,8.22156,"1997-4"
"377","1997",5,"BEL",94.7371,13.0677,"1997-5"
"378","1997",6,"BEL",126.91,15.9857,"1997-6"
"379","1997",7,"BEL",62.0991,17.6457,"1997-7"
"380","1997",8,"BEL",52.9485,20.9848,"1997-8"
"381","1997",9,"BEL",22.1603,15.0726,"1997-9"
"382","1997",10,"BEL",83.5908,10.0229,"1997-10"
"383","1997",11,"BEL",83.033,6.65336,"1997-11"
"384","1997",12,"BEL",89.2843,4.70542,"1997-12"
"385","1998",1,"BEL",80.3103,4.1609,"1998-1"
"386","1998",2,"BEL",14.9442,5.59928,"1998-2"
"387","1998",3,"BEL",77.0793,7.42648,"1998-3"
"388","1998",4,"BEL",109.327,8.93913,"1998-4"
"389","1998",5,"BEL",45.3084,15.0029,"1998-5"
"390","1998",6,"BEL",108.442,16.3103,"1998-6"
"391","1998",7,"BEL",53.5932,16.6592,"1998-7"
"392","1998",8,"BEL",49.3356,17.6934,"1998-8"
"393","1998",9,"BEL",128.815,14.9231,"1998-9"
"394","1998",10,"BEL",164.706,9.9994,"1998-10"
"395","1998",11,"BEL",91.067,3.59095,"1998-11"
"396","1998",12,"BEL",75.0197,4.08929,"1998-12"
"397","1999",1,"BEL",100.221,4.90674,"1999-1"
"398","1999",2,"BEL",71.2219,3.01999,"1999-2"
"399","1999",3,"BEL",82.3445,7.39195,"1999-3"
"400","1999",4,"BEL",66.8001,9.86319,"1999-4"
"401","1999",5,"BEL",51.0547,14.6317,"1999-5"
"402","1999",6,"BEL",87.1192,15.6368,"1999-6"
"403","1999",7,"BEL",44.6536,19.6412,"1999-7"
"404","1999",8,"BEL",90.4593,18.1932,"1999-8"
"405","1999",9,"BEL",68.7938,17.6812,"1999-9"
"406","1999",10,"BEL",63.1907,10.6432,"1999-10"
"407","1999",11,"BEL",50.8153,5.79412,"1999-11"
"408","1999",12,"BEL",176.164,4.31847,"1999-12"
"409","2000",1,"BEL",47.2414,3.63183,"2000-1"
"410","2000",2,"BEL",94.3062,5.64414,"2000-2"
"411","2000",3,"BEL",63.0269,6.90808,"2000-3"
"412","2000",4,"BEL",64.8855,10.0886,"2000-4"
"413","2000",5,"BEL",96.8265,14.8125,"2000-5"
"414","2000",6,"BEL",41.4755,16.8423,"2000-6"
"415","2000",7,"BEL",150.477,15.598,"2000-7"
"416","2000",8,"BEL",51.1731,18.4175,"2000-8"
"417","2000",9,"BEL",88.749,15.8498,"2000-9"
"418","2000",10,"BEL",114.19,11.3745,"2000-10"
"419","2000",11,"BEL",112.845,7.64115,"2000-11"
"420","2000",12,"BEL",79.6613,5.49924,"2000-12"
"421","2001",1,"BEL",97.6076,3.09771,"2001-1"
"422","2001",2,"BEL",84.6816,4.5942,"2001-2"
"423","2001",3,"BEL",128.324,6.15664,"2001-3"
"424","2001",4,"BEL",109.592,8.06406,"2001-4"
"425","2001",5,"BEL",29.0985,14.7392,"2001-5"
"426","2001",6,"BEL",55.7071,15.4255,"2001-6"
"427","2001",7,"BEL",94.8217,18.9284,"2001-7"
"428","2001",8,"BEL",70.1472,19.2373,"2001-8"
"429","2001",9,"BEL",152.596,12.9722,"2001-9"
"430","2001",10,"BEL",62.915,14.1379,"2001-10"
"431","2001",11,"BEL",103.308,6.17399,"2001-11"
"432","2001",12,"BEL",68.428,3.03334,"2001-12"
"433","2002",1,"BEL",61.0903,3.55833,"2002-1"
"434","2002",2,"BEL",134.556,6.91863,"2002-2"
"435","2002",3,"BEL",64.4001,7.48922,"2002-3"
"436","2002",4,"BEL",45.6596,9.48941,"2002-4"
"437","2002",5,"BEL",61.7304,13.3222,"2002-5"
"438","2002",6,"BEL",64.1687,17.2473,"2002-6"
"439","2002",7,"BEL",92.2761,17.7927,"2002-7"
"440","2002",8,"BEL",112.58,18.6983,"2002-8"
"441","2002",9,"BEL",40.8535,14.5873,"2002-9"
"442","2002",10,"BEL",95.5885,10.3139,"2002-10"
"443","2002",11,"BEL",115.115,8.25987,"2002-11"
"444","2002",12,"BEL",108.964,3.91885,"2002-12"
"445","2003",1,"BEL",100.212,1.96457,"2003-1"
"446","2003",2,"BEL",25.8197,2.10197,"2003-2"
"447","2003",3,"BEL",37.2295,8.15595,"2003-3"
"448","2003",4,"BEL",50.3282,10.0651,"2003-4"
"449","2003",5,"BEL",86.7336,13.8417,"2003-5"
"450","2003",6,"BEL",48.9324,18.584,"2003-6"
"451","2003",7,"BEL",55.2892,19.5664,"2003-7"
"452","2003",8,"BEL",41.9218,20.2945,"2003-8"
"453","2003",9,"BEL",39.6423,15.3118,"2003-9"
"454","2003",10,"BEL",80.1442,8.01302,"2003-10"
"455","2003",11,"BEL",59.0045,7.88153,"2003-11"
"456","2003",12,"BEL",73.9084,4.10849,"2003-12"
"457","2004",1,"BEL",131.272,3.00388,"2004-1"
"458","2004",2,"BEL",53.3952,4.50731,"2004-2"
"459","2004",3,"BEL",34.7624,6.04362,"2004-3"
"460","2004",4,"BEL",50.772,10.3774,"2004-4"
"461","2004",5,"BEL",49.0659,12.4647,"2004-5"
"462","2004",6,"BEL",61.8356,16.1698,"2004-6"
"463","2004",7,"BEL",97.8329,17.4151,"2004-7"
"464","2004",8,"BEL",118.878,19.0878,"2004-8"
"465","2004",9,"BEL",56.3731,15.7483,"2004-9"
"466","2004",10,"BEL",66.6567,11.5671,"2004-10"
"467","2004",11,"BEL",70.1143,6.20637,"2004-11"
"468","2004",12,"BEL",60.3219,2.73919,"2004-12"
"469","2005",1,"BEL",58.8286,4.30325,"2005-1"
